username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,12/6/16 07:36,0,0,Demonetisaton good for people but way in which being implemented may become Waterloo for Govt,,,,8.06E+17,https://twitter.com/Pipalkoti/status/806115033901993984,
,12/6/16 07:17,0,0,Get in Line Š—” A Villanelle on Demonetisaton by Uttaran Das Gupta http:// indianculturalforum.in/2016/11/22/get -in-line/ Š—_ pic.twitter.com/ATNvEqmMsv,,,,8.06E+17,https://twitter.com/IWF_Writers/status/806110277477355520,
,12/6/16 06:14,2,1,#Demonetisaton could bring down interest rates and make dream homes #affordable . Read more: http:// bit.ly/2gd1LaP #realestate,,,#Demonetisaton #affordable #realestate,8.06E+17,https://twitter.com/chintelsgroup/status/806094357166104576,
,12/5/16 12:13,0,0,@Being_Humor @arvindkejriwal RT ATM ke bahaar khadi class 2 ke bacchi ki Demonetisaton se maut. https:// twitter.com/ANI_news/statu s/805821161934196736 Š—_,,@Being_Humor @arvindkejriwal,,8.06E+17,https://twitter.com/YogR9/status/805822299450421252,
,12/5/16 04:13,0,0,Demonetisaton :Quandary to people,,,,,,
,12/5/16 01:32,0,0,@priyankac19 is he also #demonetisaton victim?? https:// twitter.com/Chopdasaab/sta tus/805651314369695744 Š—_,,@priyankac19,#demonetisaton,8.06E+17,https://twitter.com/TweetHarshul/status/805661171260895232,
,12/4/16 05:33,0,0,Demonetisaton effect: Thousands of crores in old notes in possession of Maoists - http://www. watch-latest-news.com/demonetisaton- effect-thousands-of-crores-in-old-notes-in-possession-of-maoists/ Š—_ pic.twitter.com/Zkoagv4XQj,,,,8.05E+17,https://twitter.com/watchlatestnews/status/805359346288828416,
,12/3/16 20:32,0,0,Visit any hospital to get a real peek into woes of #demonetisaton . I Pray no one falls sick during #Modi rule. Traumatising!,,,#demonetisaton #Modi,8.05E+17,https://twitter.com/ShoshitBoli/status/805223184626630656,
,12/3/16 08:22,0,1,The purpose of demonetisaton has shifted from eradicating black money to going digitalŠ—_no word on reducing taxes or interest rates.,,,,8.05E+17,https://twitter.com/AshimaMunjal/status/805039615925096449,
,12/3/16 07:46,0,0,Demonetisaton : Over Rs 11 lakh cr deposits enter banking system till Nov 30,,,,,,
,12/3/16 03:59,0,0,even thy didn't abt d demonetisaton ,,,,,,
,12/3/16 03:57,0,0,@ppbajpai felt rlly bad whn u covered d news in noida on d effects of demonetisaton bt sm ppl incl. Childs ws chanting Modi Modi modi...,,@ppbajpai,,8.05E+17,https://twitter.com/BjFddi/status/804972904349716480,
,12/3/16 03:55,0,0,Mata lost her mental balance after Demonetisaton,,,,8.05E+17,https://twitter.com/arunjamwal19/status/804972367097298944,
,12/2/16 23:52,0,0,All who oppose Demonetisaton are gone mad. They don't now how to react? Every reaction has failed. Shameless.,,,,8.05E+17,https://twitter.com/alex_gaga1961/status/804911250522009601,
,12/2/16 10:19,0,0,#DeMonetisaton @manojsinhabjp @narendramodi 3g 4g wnt exist broadband they cnt provide me wimax dead lst 8 hr twetng using 2g,,@manojsinhabjp @narendramodi,#DeMonetisaton,8.05E+17,https://twitter.com/kkamaljeetsingh/status/804706585591189506,
,12/2/16 10:16,0,0,#DeMonetisaton @manojsinhabjp @narendramodi live hardly 15 km away in village internet nt evn exist here how cn someone here live cashless,,@manojsinhabjp @narendramodi,#DeMonetisaton,8.05E+17,https://twitter.com/kkamaljeetsingh/status/804705909993709568,
,12/2/16 10:11,0,0,#DeMonetisaton AmitShah in full form pic.twitter.com/nB9LhHa35P,,,#DeMonetisaton,8.05E+17,https://twitter.com/sahilkhurana09/status/804704580034580480,
,12/2/16 10:06,34,42,Probe into Jan Dhan accounts after #DeMonetisaton : Nearly Rs. 1.64 crore in accounts of people who have never filed returns,,,#DeMonetisaton,8.05E+17,https://twitter.com/ndtv/status/804703342928637953,
,12/2/16 09:45,0,0,@narendramodi Relax,,,,,,
,12/2/16 09:21,12,17,Most of the black income generation is through the medium of transaction and that is cash: Ashok Lahiri,,,,,,
,12/2/16 06:38,0,0,Is this true? If so then where has black money gone? #Demonetisaton : Over Rs 11 lakhcr deposits enter banking system http://www. firstpost.com/politics/demon etisaton-over-rs-11-lakh-cr-deposits-enter-banking-system-till-nov-30-cnbc-tv18-says-3134788.html Š—_,,,#Demonetisaton,8.05E+17,https://twitter.com/shishirar/status/804651047721562112,
,12/1/16 23:43,21,25,#Demonetisaton : Over Rs 11 lakh cr deposited until Nov 30. 30 days left. At this rate all 500/1000 notes back. #fail https://www. google.com/amp/m.firstpos t.com/amp/politics/demonetisaton-over-rs-11-lakh-cr-deposits-enter-banking-system-till-nov-30-cnbc-tv18-says-3134788.html?client=safari Š—_,,,#Demonetisaton #fail,8.05E+17,https://twitter.com/SalmanSoz/status/804546491960479745,
,12/1/16 20:34,0,0,IT dept seizes Rs. 4 Cr in new notes. Demonetisaton poorly planned has hit a wall causing needless suffering of common man.,,,,8.04E+17,https://twitter.com/sundevraj/status/804498994068013056,
,12/1/16 07:46,0,0,"Advantages of demonetisaton "" suck on your own fattie cunt""",,,,8.04E+17,https://twitter.com/Feynmaned/status/804305676029702144,
,12/1/16 07:35,19,13,#Demonetisaton : Over Rs 11 lakh cr deposits enter banking system till Nov 30,,,,,,
,12/1/16 07:28,0,0,so if I am supporting demonetisaton ...I am gaddar??? how can u say so??,,,,8.04E+17,https://twitter.com/ParasharKinshuk/status/804301193459568641,
,12/1/16 02:21,1,0,I suport #DeMonetisaton but the way banks r behaving is harassing !!,,,#DeMonetisaton,8.04E+17,https://twitter.com/anujks1/status/804223945163571200,
,12/1/16 00:28,1,1,Auto sales numbers from Maruti and Eicher Motors suggest demonetisaton has less or no impact. Bookings in December will be key to watch,,,,8.04E+17,https://twitter.com/tweetfinpost/status/804195346796593152,
,11/30/16 10:55,0,0,#NationalAnthem #DeMonetisaton Read: http:// tl.gd/n_1spbkr8,,,#NationalAnthem #DeMonetisaton,8.04E+17,https://twitter.com/devarsighosh/status/803990787608506368,
,11/30/16 00:56,8,9,Historic! All 10,,,,,,
,11/30/16 00:54,1,0,Oppn in the grip of Ghulam Nabi who calls AFZAL GURU + JEE,,,,,,
,11/29/16 23:41,0,0,Didn't the new black money window negate the whole motive behind keeping #demonetisaton a secret?,,,#demonetisaton,8.04E+17,https://twitter.com/thevirtualjk/status/803821143224446976,
,11/29/16 22:51,0,0,As d teller handed me mney yest I said u hv gven me 4k xtra. Expressions on her face were priceless. We laughed after 5 secs #Demonetisaton,,,#Demonetisaton,8.04E+17,https://twitter.com/mahtolia/status/803808659956330496,
,11/29/16 22:50,0,0,People supporting demonetisaton in India brexit being supported by UK and trump being elected are just a few things that show our hollowness,,,,8.04E+17,https://twitter.com/Feynmaned/status/803808453550452736,
,11/29/16 12:03,0,0,what do the civic poll results in Guj,,,,,,
,11/29/16 08:45,0,0,Demonetisaton should hv been done by UPA its rule,,,,,,
,11/29/16 04:04,0,0,Demonetisaton krke gandi rajneeti krne walon.. 2019 me janta maaf ni kregi... Aam aadmi party zindabd... Jai ho arvind sir. Salute to u,,,,8.04E+17,https://twitter.com/sunilsh52245357/status/803525131880558592,
,11/28/16 13:57,0,0,@ArvindKejriwal people who oppose demonetisaton are not fit to live....in the changing India',,@ArvindKejriwal,,8.03E+17,https://twitter.com/swamees1968/status/803311820190543872,
,11/28/16 13:06,0,0,Nandan Nilekani on Demonetisaton pic.twitter.com/ippukJw0GS,,,,8.03E+17,https://twitter.com/DrKSVarma/status/803299065081434112,
,11/28/16 09:47,0,0,Thanks to Hon CM of Telangana Sri KCR for his excellent support to Demonetisaton pic.twitter.com/bnsTgu46QP,,,,8.03E+17,https://twitter.com/DrKSVarma/status/803248895224475648,
,11/28/16 09:44,102,80,Opposition parties tried to corner Modi ji on demonetisaton issue but now they are searching corners to hide their faces #IndiaRejectsBandh,,,#IndiaRejectsBandh,8.03E+17,https://twitter.com/MahiHerambha/status/803248146025283585,
,11/28/16 04:59,0,0,Note ban to boomerang on BJP in polls: Kapil Sibal http:// satprnews.com/?p=495367 LUCKNOW: The demonetisaton mov,,,,8.03E+17,https://twitter.com/satprnews/status/803176448785870848,
,11/28/16 04:55,0,0,Demonetisaton leads India Digitisation.,,,,8.03E+17,https://twitter.com/SumanSmech/status/803175546465042432,
,11/28/16 03:07,0,0,100 and above killed in demonetisaton,,,,8.03E+17,https://twitter.com/arum0522/status/803148282616647680,
,11/28/16 01:40,0,0,Agree or disagree,,,,,,
,11/28/16 01:36,3,3,RT AAP4Uttarakhand: #DemonetisationScam Demonetisaton has ruined business and lives. Black money hoarders & corruŠ—_ pic.twitter.com/SPPdLltgBD,,,#DemonetisationScam,8.03E+17,https://twitter.com/aapbhimtal/status/803125326855499780,
,11/28/16 01:34,1,0,RT AAP4Uttarakhand: #DemonetisationScam Demonetisaton has ruined business and lives. Black money hoarders & corruŠ—_ pic.twitter.com/EOxdAdvmyD,,,#DemonetisationScam,8.03E+17,https://twitter.com/RannSinghRana/status/803124863695290368,
